lsoa_code,IMDScore
E01001171,24.566
E01001172,43.062
E01001173,19.768
E01001174,22.452
E01001175,30.599
E01001176,22.748
E01001177,31.6
E01001178,58.173
E01001179,20.706
E01001180,27.841
E01001181,42.449
E01001182,21.65
E01001183,24.133
E01001184,16.909
E01001185,19.985
E01001186,29.074
E01001187,20.607
E01001188,28.153
E01001189,17.717
E01001190,27.441
E01001191,34.93
E01001192,27.765
E01001193,34.356
E01001194,18.25
E01001195,13.986
E01001196,38.041
E01001197,22.602
E01001198,14.822
E01001199,22.254
E01001200,15.981
E01001201,17.646
E01001202,33.786
E01001203,32.757
E01001204,13.681
E01001205,31.013
E01001206,42.319
E01001207,16.207
E01001208,11.841
E01001209,7.107
E01001210,50.708
E01001211,10.395
E01001212,13.453
E01001213,28.161
E01001214,15.937
E01001215,30.196
E01001216,22.184
E01001217,16.083
E01001218,36.313
E01001219,36.023
E01000407,14.648
E01001220,47.749
E01000002,5.143
E01001221,24.068
E01000408,23.784
E01001222,21.852
E01000003,19.402
E01001223,11.671
E01001224,9.146
E01000005,28.652
E01001225,21.713
E01000409,5.938
E01001226,13.363
E01000006,19.837
E01000410,7.496
E01000007,31.576
E01000411,9.621
E01000412,8.605
E01000413,10.974
E01000414,13.631
E01000415,6.236
E01001227,10.29
E01000416,25.261
E01000417,19.563
E01000418,18.667
E01000419,8.707
E01000420,11.155
E01000421,7.222
E01000422,35.949
E01000423,5.619
E01000424,6.789
E01000425,6.454
E01000426,10.343
E01000427,12.878
E01000428,23.903
E01000429,42.524
E01000430,16.489
E01000431,36.113
E01000432,24.386
E01000433,35.521
E01000434,38.229
E01000435,31.181
E01000436,5.016
E01000437,13.671
E01000438,14.031
E01000439,23.787
E01000440,7.749
E01000441,29.024
E01000442,13.895
E01000443,18.208
E01000444,6.832
E01000445,5.791
E01000446,6.243
E01000447,10.353
E01000448,3.171
E01000449,5.445
E01000450,18.048
E01000451,7.498
E01000452,7.478
E01000453,8.045
E01000454,18.58
E01000455,8.188
E01000456,6.115
E01000457,12.09
E01000458,5.631
E01000459,14.438
E01000460,5.115
E01000461,7.086
E01000462,14.326
E01000463,5.128
E01000464,25.484
E01000465,28.674
E01000466,23.424
E01000467,18.552
E01000468,20.855
E01000469,19.895
E01000470,38.345
E01000471,21.524
E01000472,22.928
E01000473,25.222
E01000474,21.758
E01000475,21.12
E01000476,19.67
E01000477,23.491
E01000478,23.721
E01000479,15.83
E01000480,11.775
E01000481,27.74
E01000482,33.304
E01000483,33.513
E01000484,38.614
E01000485,29.651
E01000486,15.555
E01000487,17.634
E01000488,24.308
E01000489,23.257
E01000490,24.206
E01000491,21.226
E01000492,13.405
E01000493,12.31
E01000494,19.535
E01000495,32.579
E01000497,23.67
E01000498,32.538
E01000499,27.131
E01000501,35.651
E01000502,28.682
E01000503,28.578
E01000504,21.374
E01000505,20.325
E01000506,30.431
E01000507,22.007
E01000508,37.833
E01000509,34.158
E01000510,30.111
E01000511,31.007
E01000512,18.91
E01000513,15.506
E01000514,14.626
E01000515,27.517
E01000516,19.417
E01000517,13.553
E01000518,25.937
E01000519,20.361
E01000520,20.597
E01000521,53.09
E01000522,31.433
E01000523,31.722
E01000524,44.228
E01000525,33.636
E01000526,42.123
E01000527,34.204
E01000528,46.028
E01000530,15.596
E01000531,25.279
E01000532,22.1
E01000533,38.611
E01000534,19.424
E01000535,29.612
E01000536,11.259
E01000538,9.585
E01000539,9.401
E01000540,10.46
E01000541,14.775
E01000543,21.407
E01000544,33.576
E01000545,30.368
E01000546,22.321
E01000547,22.673
E01000548,32.72
E01000549,17.113
E01000550,34.612
E01000551,41.111
E01000552,43.404
E01000553,29.062
E01000554,21.039
E01000555,15.947
E01000556,32.007
E01000557,23.465
E01000558,26.806
E01000559,22.118
E01000560,19.077
E01000561,24.708
E01000562,10.862
E01000563,9.588
E01000564,17.31
E01000565,23.892
E01000566,14.793
E01000567,18.175
E01000568,14.257
E01000569,9.462
E01000570,24.088
E01000571,22.247
